Expt,Source,TC,Pkb,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2
SpG_17,This study,900,5,68.66,15.8,2.93,5.55,3.68,0.05,1.01,2.04
SpG_29,This study,1000,5,66.21,15.81,3.14,5.29,3.61,3.19,0.82,1.66
SpG_33,This study,1000,10,68.29,15.62,2.98,5.53,4.06,0.04,1,2.21
SpG_18,This study,900,5,65.53,16.95,3.67,4.37,5.24,0.05,1.43,2.36
SpG_20,This study,1000,5,64.22,16.45,3.55,4.26,6.05,0.03,1.39,3.64
SpG_34,This study,1000,10,65.51,16.78,3.57,4.44,5.34,0.06,1.41,2.49
SpG_32,This study,900,5,69.56,16,2.9,5.95,2.75,0.69,0.88,1.02
SpG_11,This study,800,5,74.56,13.65,2.69,6.98,1.15,0.04,0.34,0.54
SpG_23,This study,900,5,72.47,14.8,2.47,5.01,2.72,0.02,0.69,1.67
SpG_7,This study,900,5,73.94,13.49,2.5,6.99,1.28,0.62,0.29,0.8
SpG_12,This study,800,5,71.82,14.7,3.71,5.03,2.55,0.03,0.67,1.29
SpG_8,This study,900,5,71.32,14.36,2.73,6,2.34,1.29,0.62,1.13
SpG_10,This study,1000,5,72.8,13.09,2.65,5.29,2.76,0.02,0.33,3.03
SpDis_18,This study,925,8,77.68,13.17,2.89,4.81,0.77,0.02,0.07,0.55
SpDis_21,This study,1000,8,76.33,12.83,3.33,4.8,1.14,0.02,0.07,1.46
SpDis_17,This study,1000,8,77.9,13.12,2.41,4.57,1,0.01,0.03,0.91
SpDis_7,This study,1100,8,76.12,12.7,3.43,4.55,1.03,0.75,0.07,1.31
SpDis_10,This study,1100,8,75.94,12.88,2.34,4.23,2.09,0.02,0.07,2.4
SpDis_11,This study,1100,8,75.36,12.65,2.32,4.43,2.45,0.01,0.07,2.67
SpDis_12,This study,1200,8,73.36,11.79,3.7,4.4,1.91,0.98,0.08,3.72
SpDis_13,This study,1200,8,74.4,12.32,3.54,4.62,1.76,0.02,0.08,3.23
SpDis_15,This study,1200,8,72.67,11.85,2.74,4.26,3.9,0.01,0.07,4.47
SpDis_3,This study,1300,8,62.24,9.32,2.61,3.13,9.16,0.03,0.06,13.42
SpG_30,This study,1000,5,65.52,16.62,3.66,4.81,3.78,3.31,0.51,1.32
SpDis_1,This study,1300,6,67.63,11.27,2.43,4.02,2.29,1.14,0.08,11.03
SpDis_2,This study,1300,8,71.11,10.91,1.95,3.49,4.61,0.09,0.08,7.73
SpDis_4,This study,1300,8,74.41,12.52,2.81,4.45,2.86,0.02,0.06,2.84
SpDis_16,This study,1000,8,76.04,12.79,3.42,4.24,2.22,0.02,0.07,1.15
SpG_15,This study,800,5,72.42,15.14,2.64,6.16,2.08,0.38,0.28,0.68
SpG_16,This study,800,5,71.01,15.93,3.07,5.29,2.53,1.01,0.34,0.56
SpG_19,This study,1000,5,67.47,15.2,2.82,5.44,4.6,0.03,0.96,3.19
SpG_28,This study,900,5,63.62,16.09,3.37,4.23,6.58,0.02,1.34,4.35
ND-002-18,LEPR,752,1.519999951,76.80999756,11.82999992,4.570000172,4.78000021,0.310000002,1.309999943,0.039999999,0.07
ND-002-20,LEPR,752,1.519999951,76.76000214,11.53999996,4.360000134,4.840000153,0.280000001,1.49000001,0.039999999,0.039999999
HL220-without,LEPR,1150,0.001,59.82,9.41,11.98,1.14,8.62,0,0,8.47
HL220-25,LEPR,1150,0.001,59.62,9.32,12.01,1.14,8.82,0,0,8.64
HL220-50,LEPR,1150,0.001,59.31,9,12.16,1.14,8.97,0,0,8.86
HL220-100,LEPR,1150,0.001,59.56,9.18,12.13,1.15,8.9,0,0,8.74
HL220-250,LEPR,1150,0.001,59.2,8.86,11.99,1.11,9.33,0,0,9.12
