Expt,Phase,Spectrum Label,Na,Mg,Al,Si,P,K,Ca,Ti,Mn,Fe
SpG9,Rutile,Site1 Rut1,0,0.03,1.5,0.63,0.11,0.02,0,97.04,0.01,0.66
SpG9,Rutile,Site1 Rut2,0.37,0,5.51,6.36,0,0.06,0,85.5,0.01,0.15
SpG9,Glass,Site1 G1,1.32,0.04,30.42,66.48,0,0.36,0,0.7,0,0.68
SpG9,Glass,Site1 G2,1.61,0.04,30.18,66.14,0.13,0.41,0.01,0.81,0,0.67
SpG9,Glass,Site1 G3,1.67,0.02,31.83,63.92,0.1,0.48,0,1.24,0.04,0.69
SpG9,Glass,Site1 G4,1.76,0,31.82,64.1,0.05,0.47,0.04,0.87,0,0.89
SpG9,Glass,Site1 G5,1.16,0.05,31.92,65.59,0,0.26,0,0.37,0.04,0.6
SpG9,Glass,Site2 G1,3.41,0.07,32.21,61.52,0.33,0.97,0.04,0.6,0.04,0.81
SpG9,Glass,Site2 G2,0.9,0.01,31.26,66.33,0.09,0.25,0,0.66,0,0.5
SpG9,Glass,Site2 G3,1.24,0.07,31.38,65.22,0.07,0.34,0,0.91,0,0.77
SpG9,Glass,Site2 G4,2.54,0,34.08,60.34,0.23,0.63,0,1.44,0,0.73
SpG9,Glass,Site2 G5,1.78,0,32.13,64.35,0.03,0.48,0,0.72,0,0.51
SpG9,Rutile,Site2 Rut1,0.03,0.03,1.12,0.67,0.06,0,0,97.58,0,0.16
SpG14,Glass,Site 1 G1,2.43,0.58,13.93,69.78,0.14,4.51,4.33,4.21,0.03,0.07
SpG14,Glass,Site 1 G2,2.41,0.61,13.82,69.93,0.13,4.61,4.39,4.06,0.03,0
SpG14,Glass,Site 1 G3,2.41,0.68,13.85,69.78,0.15,4.69,4.36,4.04,0.02,0.01
SpG14,Glass,Site 1 G4,2.39,0.64,13.79,69.95,0.17,4.6,4.32,4.09,0.05,0
SpG14,Glass,Site 1 G5,2.42,0.58,13.96,69.69,0.07,4.69,4.37,4.18,0.04,0
SpG14,Glass,Site 1 G6,2.4,0.68,13.91,69.67,0.16,4.63,4.37,4.11,0.05,0.01
SpG13,Glass,Site 1 G1,4.05,0.28,12.6,69.97,0.31,4.7,3.22,3.6,0,0.02
SpG13,Glass,Site 1 G2,3.98,0.35,12.53,69.95,0.04,5.14,3.5,3.66,0,0
SpG13,Glass,Site 1 G3,3.91,0.27,12.65,70.66,0.04,5.31,3.46,3.65,0.01,0.03
SpG13,Glass,Site 1 G4,3.94,0.33,12.69,70.56,0.04,5.26,3.43,3.74,0.02,0
SpG13,Glass,Site 1 G5,4.03,0.3,12.47,70.89,0,5.27,3.5,3.54,0.01,0
SpG13,Glass,Site 1 G6,3.96,0.32,12.53,70.8,0,5.26,3.38,3.62,0.05,0.07
SpG13,Glass,Site 1 G7,3.97,0.3,12.66,70.78,0,5.32,3.37,3.53,0.03,0.03
SpG13,Glass,Site 1 G8,4,0.33,12.49,70.83,0,5.35,3.36,3.63,0,0
SpG13,Glass,Site 1 G9,3.87,0.32,12.55,70.73,0,5.3,3.44,3.69,0.06,0.05
SpG22,Glass,Site1 G1,3.4,1.36,16.09,63.23,0.36,4.14,6.56,4.34,0.05,0.02
SpG22,Glass,Site1 G2,3.49,1.36,16.06,63.51,0.3,4.09,6.53,4.66,0,0
SpG22,Glass,Site1 G3,3.49,1.41,16.13,63.28,0.39,4.16,6.5,4.61,0,0.02
SpG22,Glass,Site1 G4,3.39,1.35,16.15,63.28,0.39,4.15,6.48,4.41,0,0.03
SpG22,Glass,Site1 G5,3.44,1.39,16.11,63.34,0.39,4.15,6.51,4.67,0,0
SpG22,Glass,Site1 G6,3.44,1.4,16.12,63.23,0.35,4.14,6.55,4.71,0,0.05
