SM,Expt,PhaseID,Oxide,Conc
PST + GSP,SM,SM,SiO2,66.25395562
PST + GSP,SM,SM,Al2O3,12.93075945
PST + GSP,SM,SM,Na2O,2.460359094
PST + GSP,SM,SM,K2O,5.706923163
PST + GSP,SM,SM,CaO,5.262609568
PST + GSP,SM,SM,FeO,2.552853797
PST + GSP,SM,SM,MgO,0.564217687
PST + GSP,SM,SM,TiO2,4.064833278
PST + GSP,SM,SM,MnO,0.055496822
PST + GSP,SM,SM,P2O5,0.147991524
GSP,SM,SM,SiO2,62.81492525
GSP,SM,SM,Al2O3,14.05448099
GSP,SM,SM,Na2O,2.618445109
GSP,SM,SM,K2O,5.079598462
GSP,SM,SM,CaO,5.717744554
GSP,SM,SM,FeO,4.154352841
GSP,SM,SM,MgO,0.897488253
GSP,SM,SM,TiO2,4.35763349
GSP,SM,SM,MnO,0.037009825
GSP,SM,SM,P2O5,0.26832123
GSP + AGV,SM,SM,SiO2,59.42861613
GSP + AGV,SM,SM,Al2O3,15.01909747
GSP + AGV,SM,SM,Na2O,3.289765343
GSP + AGV,SM,SM,K2O,3.900523466
GSP + AGV,SM,SM,CaO,7.186122572
GSP + AGV,SM,SM,FeO,4.923080626
GSP + AGV,SM,SM,MgO,1.295547533
GSP + AGV,SM,SM,TiO2,4.531566959
GSP + AGV,SM,SM,MnO,0.064777377
GSP + AGV,SM,SM,P2O5,0.360902527
AGV,SM,SM,SiO2,60.57692308
AGV,SM,SM,Al2O3,17.34538462
AGV,SM,SM,Na2O,4.326923077
AGV,SM,SM,K2O,2.986923077
AGV,SM,SM,CaO,5.201538462
AGV,SM,SM,FeO,6.09
AGV,SM,SM,MgO,1.827692308
AGV,SM,SM,TiO2,1.080769231
AGV,SM,SM,MnO,0.098461538
AGV,SM,SM,P2O5,0.465384615
GSP(1),SM,SM,SiO2,64.06498586
GSP(1),SM,SM,Al2O3,14.33417492
GSP(1),SM,SM,Na2O,2.670553984
GSP(1),SM,SM,K2O,5.180685997
GSP(1),SM,SM,CaO,3.864920186
GSP(1),SM,SM,FeO,4.237027346
GSP(1),SM,SM,MgO,0.915348892
GSP(1),SM,SM,TiO2,4.420895467
GSP(1),SM,SM,MnO,0.037746346
GSP(1),SM,SM,P2O5,0.273661009
PST,SM,SM,SiO2,69.79309393
PST,SM,SM,Al2O3,11.8327904
PST,SM,SM,Na2O,2.305449773
PST,SM,SM,K2O,6.342301584
PST,SM,SM,CaO,4.558076058
PST,SM,SM,FeO,0.953659946
PST,SM,SM,MgO,0.222212026
PST,SM,SM,TiO2,3.909086778
PST,SM,SM,MnO,0.064811841
PST,SM,SM,P2O5,0.018517669
PST,SpG_5,Gl,SiO2,73.78
PST,SpG_5,Gl,Al2O3,13.3
PST,SpG_5,Gl,Na2O,2.48
PST,SpG_5,Gl,K2O,6.94
PST,SpG_5,Gl,CaO,1.34
PST,SpG_5,Gl,FeO,0.29
PST,SpG_5,Gl,MgO,0.34
PST,SpG_5,Gl,TiO2,1.43
PST,SpG_5,Gl,MnO,0.07
PST,SpG_5,Gl,P2O5,0.02
PST,SpG_5,Tit,SiO2,34.75166667
PST,SpG_5,Tit,Al2O3,2.291666667
PST,SpG_5,Tit,Na2O,0.393333333
PST,SpG_5,Tit,K2O,0.798333333
PST,SpG_5,Tit,CaO,25.02
PST,SpG_5,Tit,FeO,0.161666667
PST,SpG_5,Tit,MgO,0.068333333
PST,SpG_5,Tit,TiO2,36.41
PST,SpG_5,Tit,MnO,0.035
PST,SpG_5,Tit,P2O5,0.076666667
PST + GSP,SpG_6,Gl,SiO2,71.56
PST + GSP,SpG_6,Gl,Al2O3,14.58
PST + GSP,SpG_6,Gl,Na2O,2.32
PST + GSP,SpG_6,Gl,K2O,4.98
PST + GSP,SpG_6,Gl,CaO,3.28
PST + GSP,SpG_6,Gl,FeO,0.52
PST + GSP,SpG_6,Gl,MgO,0.58
PST + GSP,SpG_6,Gl,TiO2,2.01
PST + GSP,SpG_6,Gl,MnO,0.06
PST + GSP,SpG_6,Gl,P2O5,0.11
PST + GSP,SpG_6,Tit,SiO2,31.98333333
PST + GSP,SpG_6,Tit,Al2O3,1.393333333
PST + GSP,SpG_6,Tit,Na2O,0.153333333
PST + GSP,SpG_6,Tit,K2O,0.308333333
PST + GSP,SpG_6,Tit,CaO,26.96
PST + GSP,SpG_6,Tit,FeO,0.128333333
PST + GSP,SpG_6,Tit,MgO,0.06
PST + GSP,SpG_6,Tit,TiO2,38.52666667
PST + GSP,SpG_6,Tit,MnO,0.043333333
PST + GSP,SpG_6,Tit,P2O5,0.14
PST + GSP,SpG_10,Gl,SiO2,72.79
PST + GSP,SpG_10,Gl,Al2O3,13.09
PST + GSP,SpG_10,Gl,Na2O,2.65
PST + GSP,SpG_10,Gl,K2O,5.29
PST + GSP,SpG_10,Gl,CaO,2.76
PST + GSP,SpG_10,Gl,FeO,0.02
PST + GSP,SpG_10,Gl,MgO,0.33
PST + GSP,SpG_10,Gl,TiO2,3.03
PST + GSP,SpG_10,Gl,MnO,0.02
PST + GSP,SpG_10,Gl,P2O5,0.01
PST + GSP,SpG_10,Tit,SiO2,32.03333333
PST + GSP,SpG_10,Tit,Al2O3,1.113333333
PST + GSP,SpG_10,Tit,Na2O,0.106666667
PST + GSP,SpG_10,Tit,K2O,0.2125
PST + GSP,SpG_10,Tit,CaO,27.25833333
PST + GSP,SpG_10,Tit,FeO,0.046666667
PST + GSP,SpG_10,Tit,MgO,0.075
PST + GSP,SpG_10,Tit,TiO2,39.0075
PST + GSP,SpG_10,Tit,MnO,0.0475
PST + GSP,SpG_10,Tit,P2O5,0.040833333
PST,SpG_11,Gl,SiO2,74.56
PST,SpG_11,Gl,Al2O3,13.65
PST,SpG_11,Gl,Na2O,2.69
PST,SpG_11,Gl,K2O,6.98
PST,SpG_11,Gl,CaO,1.15
PST,SpG_11,Gl,FeO,0.04
PST,SpG_11,Gl,MgO,0.34
PST,SpG_11,Gl,TiO2,0.54
PST,SpG_11,Gl,MnO,0.04
PST,SpG_11,Gl,P2O5,0.01
PST,SpG_11,Tit,SiO2,34.31041667
PST,SpG_11,Tit,Al2O3,2.134166667
PST,SpG_11,Tit,Na2O,0.217083333
PST,SpG_11,Tit,K2O,0.854583333
PST,SpG_11,Tit,CaO,25.49791667
PST,SpG_11,Tit,FeO,0.063333333
PST,SpG_11,Tit,MgO,0.084166667
PST,SpG_11,Tit,TiO2,36.71541667
PST,SpG_11,Tit,MnO,0.05625
PST,SpG_11,Tit,P2O5,0.0675
PST + GSP,SpG_12,Gl,SiO2,71.83
PST + GSP,SpG_12,Gl,Al2O3,14.7
PST + GSP,SpG_12,Gl,Na2O,3.71
PST + GSP,SpG_12,Gl,K2O,5.03
PST + GSP,SpG_12,Gl,CaO,2.55
PST + GSP,SpG_12,Gl,FeO,0.03
PST + GSP,SpG_12,Gl,MgO,0.67
PST + GSP,SpG_12,Gl,TiO2,1.29
PST + GSP,SpG_12,Gl,MnO,0.05
PST + GSP,SpG_12,Gl,P2O5,0.15
PST + GSP,SpG_12,Tit,SiO2,30.02875
PST + GSP,SpG_12,Tit,Al2O3,0.704375
PST + GSP,SpG_12,Tit,Na2O,0.0875
PST + GSP,SpG_12,Tit,K2O,0.07875
PST + GSP,SpG_12,Tit,CaO,28.31
PST + GSP,SpG_12,Tit,FeO,0.026875
PST + GSP,SpG_12,Tit,MgO,0.04625
PST + GSP,SpG_12,Tit,TiO2,40.43375
PST + GSP,SpG_12,Tit,MnO,0.020625
PST + GSP,SpG_12,Tit,P2O5,0.186875
GSP,SpG_17,Gl,SiO2,68.65
GSP,SpG_17,Gl,Al2O3,15.8
GSP,SpG_17,Gl,Na2O,2.93
GSP,SpG_17,Gl,K2O,5.55
GSP,SpG_17,Gl,CaO,3.68
GSP,SpG_17,Gl,FeO,0.05
GSP,SpG_17,Gl,MgO,1.01
GSP,SpG_17,Gl,TiO2,2.04
GSP,SpG_17,Gl,MnO,0.04
GSP,SpG_17,Gl,P2O5,0.24
GSP,SpG_17,Tit,SiO2,30.43688889
GSP,SpG_17,Tit,Al2O3,1.92625
GSP,SpG_17,Tit,Na2O,0.187083333
GSP,SpG_17,Tit,K2O,0.412916667
GSP,SpG_17,Tit,CaO,25.48125
GSP,SpG_17,Tit,FeO,0.437916667
GSP,SpG_17,Tit,MgO,0.185833333
GSP,SpG_17,Tit,TiO2,39.17833333
GSP,SpG_17,Tit,MnO,0.02625
GSP,SpG_17,Tit,P2O5,0.519583333
PST,SpG_23,Gl,SiO2,72.47
PST,SpG_23,Gl,Al2O3,14.8
PST,SpG_23,Gl,Na2O,2.47
PST,SpG_23,Gl,K2O,5.01
PST,SpG_23,Gl,CaO,2.72
PST,SpG_23,Gl,FeO,0.02
PST,SpG_23,Gl,MgO,0.69
PST,SpG_23,Gl,TiO2,1.67
PST,SpG_23,Gl,MnO,0.03
PST,SpG_23,Gl,P2O5,0.12
PST,SpG_23,Tit,SiO2,35.335
PST,SpG_23,Tit,Al2O3,2.206666667
PST,SpG_23,Tit,Na2O,0.33
PST,SpG_23,Tit,K2O,0.688333333
PST,SpG_23,Tit,CaO,24.87833333
PST,SpG_23,Tit,FeO,0.03
PST,SpG_23,Tit,MgO,0.11
PST,SpG_23,Tit,TiO2,36.23666667
PST,SpG_23,Tit,MnO,0.021666667
PST,SpG_23,Tit,P2O5,0.168333333
GSP + AGV,SpG_34,Gl,SiO2,65.5
GSP + AGV,SpG_34,Gl,Al2O3,16.78
GSP + AGV,SpG_34,Gl,Na2O,3.57
GSP + AGV,SpG_34,Gl,K2O,4.44
GSP + AGV,SpG_34,Gl,CaO,5.34
GSP + AGV,SpG_34,Gl,FeO,0.06
GSP + AGV,SpG_34,Gl,MgO,1.41
GSP + AGV,SpG_34,Gl,TiO2,2.49
GSP + AGV,SpG_34,Gl,MnO,0.06
GSP + AGV,SpG_34,Gl,P2O5,0.34
GSP + AGV,SpG_34,Tit,SiO2,30.84518519
GSP + AGV,SpG_34,Tit,Al2O3,1.817407407
GSP + AGV,SpG_34,Tit,Na2O,0.13962963
GSP + AGV,SpG_34,Tit,K2O,0.198148148
GSP + AGV,SpG_34,Tit,CaO,27.3862963
GSP + AGV,SpG_34,Tit,FeO,0.223703704
GSP + AGV,SpG_34,Tit,MgO,0.170740741
GSP + AGV,SpG_34,Tit,TiO2,38.60111111
GSP + AGV,SpG_34,Tit,MnO,0.042592593
GSP + AGV,SpG_34,Tit,P2O5,0.545925926
