Run,Expt,SM,TC,Pkb,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O
1,SpG_17,GSP,900,5,67.17,1.44,14.49,0,0,0.01,0.05,0.31,0,0,3.13,2.93,5.75,0.31,4.42
2,SpG_29,GSP,1000,5,68.33,3.45,12.13,0.2,0,1.12,0.05,0.13,0,0,5.4,1.14,7.12,0.93,
3,SpG_33,GSP,1000,10,65.84,1.43,15.71,0,0,0.01,0.04,0.37,0,0,4.88,2.66,5.2,0.28,3.58
4,SpG_18,GSP + AGV,900,5,66.14,0.74,16.4,0,0,0.02,0.07,0.85,0,0,2.74,3.61,4.6,0.43,4.39
5,SpG_20,GSP + AGV,1000,5,65.06,0.89,16.43,0.01,0,0.05,0.07,1.42,0,0,3.77,3.6,4.27,0.39,4.05
6,SpG_34,GSP + AGV,1000,10,65.13,0.88,16.64,0,0,0.03,0.07,1.05,0,0,3.33,3.66,4.35,0.4,4.47
7,SpG_32,GSP(1),900,5,69.43,1.58,14.07,0.04,0,0.24,0.04,0.38,0,0,2.39,2.73,5.98,0.32,2.8
8,SpG_11,PST,800,5,71.96,0.49,11.77,0,0,0.02,0.07,0.12,0,0,2.25,2.45,6.15,0.02,4.68
9,SpG_23,PST,900,5,72.98,1.34,11.78,0.01,0,0.04,0.08,0.21,0,0,2.9,2.23,6.52,0.03,1.89
10,SpG_7,PST,900,5,70.11,1.39,12.22,0.01,0,0.04,0.06,0.23,0,0,2.85,2.39,6.55,0.02,4.13
11,SpG_12,PST + GSP,800,5,70.52,0.51,12.67,0,0,0,0.07,0.13,0,0,2.36,2.62,5.99,0.19,4.94
12,SpG_8,PST + GSP,900,5,68.73,1.21,12.54,0.13,0,0.67,0.05,0.12,0,0,3.49,2.62,6.17,0.16,4.1
13,SpG_10,PST + GSP,1000,5,66,3.11,12.95,0,0,0.03,0.06,0.56,0,0,4.94,2.46,5.72,0.15,4.01
