Index,Experiment,Citation,Laboratory,Device,Container,Duration_h,T_C,P_Gpa,fO2,Phases,Type,SiO2_Bulk,TiO2_Bulk,Al2O3_Bulk,Fe2O3_Bulk,FeO_Bulk,MgO_Bulk,CaO_Bulk,Na2O_Bulk,K2O_Bulk
33,11,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",University of Kobe,CSPV,"Au,AgPd",168,775,0.300000012,NNO,plag+amph+ilm+bi+liq+fl,Bulk,58.59000015,0.589999974,14.02999973,,2.230000019,4.329999924,4.599999905,3.109999895,2.24000001
34,12,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",University of Kobe,CSPV,"Au,AgPd",168,775,0.300000012,NNO,plag+amph+ilm+liq+fl,Bulk,58.59000015,0.589999974,14.02999973,4.21999979,2.230000019,4.329999924,4.599999905,3.109999895,2.24000001
346,ND-002-3,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,788,0.156000003,NNO-1.37,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
347,ND-002-7,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,738,0.160999998,NNO-1.14,liq+kfs+qz+cpx,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
350,ND-002-10,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.050000001,NNO-1.48,liq+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
351,ND-002-11,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.050000001,NNO-1.67,liq+kfs+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
352,ND-002-15,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.155000001,NNO-4.06,liq+kfs+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
353,ND-002-16,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.155000001,NNO-3.93,liq+kfs+qz+cpx+ox+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
354,ND-002-17,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-4.29,liq+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
355,ND-002-18,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-4.19,liq+kfs+cpx+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
356,ND-002-19,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-4.1,liq+kfs+cpx+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
357,ND-002-20,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-3.96,liq+kfs+qz+cpx+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
358,ND-002-21,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-3.86,liq+kfs+qz+cpx+ox+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
