Index,Experiment,Citation,Mode,Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O
1,115,"Xirouchakis, D, Hirschmann, M.M.,Simpson, J.  (2001) The effect of titanium on the silica content of mantle-derived melts. Geochemica et Cosmochimica Acta 65 2029-2045. ",0,Liquid,48.02000046,0.409999996,17.13999939,0,8.659999847,14.22999954,10.77999973,1.090000033,0.079999998
2,120,"Xirouchakis, D, Hirschmann, M.M.,Simpson, J.  (2001) The effect of titanium on the silica content of mantle-derived melts. Geochemica et Cosmochimica Acta 65 2029-2045. ",0,Liquid,46.59999847,1.730000019,16.67000008,0,8.770000458,14.97000027,10.81999969,0.74000001,0.07
3,151,"Xirouchakis, D, Hirschmann, M.M.,Simpson, J.  (2001) The effect of titanium on the silica content of mantle-derived melts. Geochemica et Cosmochimica Acta 65 2029-2045. ",0,Liquid,42.91999817,6.760000229,15.52999973,0,8.569999695,14.22000027,9.81000042,0.970000029,0.059999999
4,152,"Xirouchakis, D, Hirschmann, M.M.,Simpson, J.  (2001) The effect of titanium on the silica content of mantle-derived melts. Geochemica et Cosmochimica Acta 65 2029-2045. ",0,Liquid,40.38999939,10.47999954,14.60999966,0,8.25,15.42000008,9.260000229,0.620000005,0.059999999
5,A216,"Xirouchakis, D, Hirschmann, M.M.,Simpson, J.  (2001) The effect of titanium on the silica content of mantle-derived melts. Geochemica et Cosmochimica Acta 65 2029-2045. ",0,Liquid,37.49000168,16.34000015,12.38000011,0,8.739999771,15.31999969,8.369999886,0.370000005,0.059999999
6,118,"Xirouchakis, D, Hirschmann, M.M.,Simpson, J.  (2001) The effect of titanium on the silica content of mantle-derived melts. Geochemica et Cosmochimica Acta 65 2029-2045. ",0,Liquid,36.77000046,19.20000076,11.36999989,0,8.739999771,14.60000038,8.649999619,0.349999994,0.059999999
10,GBR-26,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.779999971,Liquid,85.19999695,0.090000004,7.699999809,0,0.479999989,0.050000001,0.319999993,2.440000057,2.559999943
11,GBR-3,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.876999974,Liquid,81.80000305,0.02,10,0,0.629999995,0.01,0.370000005,3.400000095,3.210000038
12,GBR-5,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.693000019,Liquid,76.90000153,0.059999999,12.60000038,0,0.790000021,0.039999999,0.49000001,4.300000191,3.960000038
13,GBR-2,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.630999982,Liquid,74.59999847,0.100000001,13.69999981,0,0.819999993,0.050000001,0.579999983,4.699999809,4.429999828
14,GBR-6,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.593999982,Liquid,73,0.25999999,14.60000038,0,0.870000005,0.050000001,0.600000024,4.980000019,4.639999866
17,GBR-14,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.702000022,Liquid,77.09999847,0.050000001,12.27999973,0,0.670000017,0.07,0.50999999,4.010000229,4.110000134
19,GBR-17,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.680999994,Liquid,76.40000153,0.119999997,12.60000038,0,0.75999999,0.050000001,0.529999971,4.159999847,4.25
20,GBR-12,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.677999973,Liquid,76.40000153,0.039999999,12.88000011,0,0.779999971,0.07,0.550000012,4.21999979,4.289999962
21,GBR-18,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.699999988,Liquid,77.09999847,0.109999999,12.30000019,0,0.779999971,0.079999998,0.479999989,4.300000191,4.159999847
22,GBR-19,"Gaetani, G.A., Asimow, P.D., Stolper E.M. (1998) Determination of the partial molar volume of SiO2 in silicate liquids at elevated pressures and temperatures: A new experimental approach. Geochemica et Cosmochimica Acta 62 2499-2508. ",0.69599998,Liquid,77,0.129999995,12.39999962,0,0.75,0.059999999,0.49000001,4.400000095,4.21999979
23,1,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.730000019,Liquid,71.68579865,0.26513499,15.86390018,0,2.20946002,0.441891015,3.192670107,3.50199008,2.806010008
24,1_2,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.519999981,Liquid,75.51959991,0.234467,13.18340015,0,1.587980032,0.287753999,1.907699943,3.250560045,3.996589899
25,2,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.529999971,Liquid,74.93630219,0.265280008,13.46560001,0,1.570459962,0.297114015,2.19652009,3.225810051,3.98980999
28,5,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.5,Liquid,71.62729645,1.153890014,13.55550003,0,3.407740116,1.833279967,2.523449898,2.51267004,3.343039989
29,7,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.800000012,Liquid,70.54709625,0.355122,16.29120064,0,2.419270039,0.443901986,3.584510088,3.628900051,2.652309895
30,8,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.560000002,Liquid,74.30000305,0.298094004,13.69099998,0,1.809859991,0.37261799,2.225059986,3.491960049,3.768759966
31,9,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0.469999999,Liquid,76.00589752,0.262632996,12.71140003,0,1.565289974,0.430718005,1.628319979,2.983510017,4.370210171
32,10,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",0,Liquid,64.87249756,0.141643003,18.69689941,0,2.630510092,1.932420015,5.453259945,4.077300072,1.861590028
