"","Source","Expt","M","TK","TiO2","TiO2sat","TiO2satSD"
"1","LEPR","1044A",2.35639362899353,1273.15,2.32,2.46795880650339,0.42899401959498
"2","LEPR","1044BA",2.70674304064559,1273.15,2.85,2.81047353951785,0.488531792956179
"3","LEPR","1044T",2.06440450132453,1273.15,1.73,2.18249927730061,0.379373892005453
"4","LEPR","1045A",2.09859718586393,1273.15,1.9,2.2159273289158,0.385184537706606
"5","LEPR","1045BA",2.53668652912107,1273.15,2.7,2.64421991183933,0.459632683367268
"6","LEPR","1045T",2.06290545247332,1273.15,1.61,2.1810337508862,0.37911914623511
"7","LEPR","1046A",1.88303657655365,1223.15,1.45,1.7671338636788,0.307172817205988
"8","LEPR","1046BA",2.15248677535033,1223.15,1.68,2.03055849015767,0.35296271818638
"9","LEPR","1046T",1.91975489532261,1223.15,1.31,1.80303107010078,0.313412664822007
"10","LEPR","1056A",2.44057944440272,1273.15,2.17,2.55026201903775,0.443300411532176
"11","LEPR","1056BA",2.7688520304716,1273.15,2.74,2.87119361884592,0.49908648731835
"12","LEPR","1056T",2.02993187447509,1273.15,1.81,2.14879754357722,0.373515673392072
"13","LEPR","ASI220",7.18369801408545,1423.15,8.2,7.90147270772837,1.37347695134787
"14","LEPR","ASI240",3.75394692822262,1423.15,4.33,4.54841933184027,0.790630980885048
"15","LEPR","ASI250",2.81476717815479,1423.15,2.97,3.63024196191069,0.631028397734438
"16","LEPR","ASI260",2.39001645300302,1423.15,3.02,3.21498971262895,0.558846993775909
"17","LEPR","ASI280",2.42591852426158,1423.15,4.27,3.25008892485198,0.564948129701069
"18","LEPR","HL220-100",7.62128985672643,1423.15,8.74,8.32927891537895,1.44784055261386
"19","LEPR","HL220-1500",7.50634810586745,1423.15,8.59,8.21690754611638,1.42830755017464
"20","LEPR","HL220-15000",7.58598431607379,1423.15,8.3,8.29476289386332,1.44184079006864
"21","LEPR","HL220-25",7.41621352960765,1423.15,8.64,8.12878860172478,1.41299023610221
"22","LEPR","HL220-250",8.02995532383161,1423.15,9.12,8.72880561273436,1.51728845562681
"23","LEPR","HL220-2500",7.54590310268409,1423.15,8.59,8.25557799545481,1.43502945795427
"24","LEPR","HL220-40000",7.54378222181748,1423.15,7.64,8.25350454272555,1.4346690391262
"25","LEPR","HL220-50",7.82341700698094,1423.15,8.86,8.52688600305162,1.48218969110749
"26","LEPR","HL220-5000",7.20509519230984,1423.15,8.08,7.92239139217037,1.37711315082566
"27","LEPR","HL220-75000",8.08460961040628,1423.15,7.21,8.78223769439804,1.52657631060552
"28","LEPR","HL220-without",7.23294525229964,1423.15,8.47,7.94961865599496,1.38184594187546
"29","LEPR","HL22REE-200",6.9406015666547,1423.15,8.48,7.66381249760877,1.33216556131643
"30","LEPR","HL22REE-2000",7.21482984441888,1423.15,8.14,7.93190835340171,1.37876744077662
"31","LEPR","HL22REE-8000",7.60296248021042,1423.15,7.5,8.31136138429295,1.44472602993158
"32","LEPR","HL240-100",3.36993405064664,1423.15,3.88,4.17299393119004,0.725372496319342
"33","LEPR","HL240-2000",3.22491245973706,1423.15,3.55,4.03121538143453,0.700727777861445
"34","LEPR","HL240-20000",3.79019818401869,1423.15,3.96,4.58385991997165,0.796791456626874
"35","LEPR","HL240-250",3.40516467071839,1423.15,3.94,4.20743670753411,0.731359526990566
"36","LEPR","HL240-45000",4.10165640652614,1423.15,4.16,4.88835316693974,0.849720128536693
"37","LEPR","HL240-500",3.171521756215,1423.15,3.45,3.97901862598379,0.691654654002319
"38","LEPR","HL240-5000",3.2062707429509,1423.15,3.83,4.01299053950363,0.697559836737055
"39","LEPR","RHY",2.82080917321327,1423.15,2.1,3.63614884302853,0.632055163929778
"40","Dissolution","SpDis_10",1.30677302905387,1373.15,2.4,1.91791696472994,0.333382755733515
"41","Dissolution","SpDis_11",1.43800367667174,1373.15,2.65,2.04621297076631,0.355683865129057
"42","Dissolution","SpDis_12",1.72403934726266,1473.15,3.74,2.80195882460399,0.487051718909976
"43","Dissolution","SpDis_13",1.61778904905413,1473.15,3.25,2.69808454563206,0.468995726909107
"44","Dissolution","SpDis_15",2.6097979159331,1473.15,5.25,3.66790964276812,0.637575998844014
"45","Dissolution","SpDis_16",1.34282471642938,1273.15,1.4,1.47705579958345,0.256749870767549
"46","Dissolution","SpDis_17",1.44575921795521,1273.15,0.81,1.5776884312806,0.274242382012234
"47","Dissolution","SpDis_18",1.05438068655879,1198.15,0.55,0.837982105256276,0.145662606172863
"48","Dissolution","SpDis_21",1.38602089219208,1273.15,1.48,1.51928600210852,0.264090554202702
"49","Dissolution","SpDis_4",1.63926958139836,1573.15,2.83,3.19519136789016,0.555405537837325
"50","Dissolution","SpDis_7",1.36678298130149,1373.15,1.31,1.97658494614706,0.343580743278257
"51","Crystallization","SpG_10",1.67780841612695,1273.15,3.03,1.80454843593489,0.313676421602167
"52","Crystallization","SpG_11",1.47868552073438,1073.15,0.54,0.6576651251605,0.11431892819547
"53","Crystallization","SpG_12",1.64765587425282,1073.15,1.29,0.822856884010105,0.143033457970486
