"","Expt","C","TK","TiO2","TiO2sat","TiO2satSD"
"1","SpDis_10",-0.682744453316681,1373.15,2.4,1.96253237139244,0.365454383767935
"2","SpDis_11",0.376282199804557,1373.15,2.65,2.43044934587711,0.452587881313009
"3","SpDis_12",2.48149015141857,1473.15,3.74,3.96032194220511,0.737474212404613
"4","SpDis_13",1.70035679543191,1473.15,3.25,3.61518845994091,0.673204931593182
"5","SpDis_16",-0.32661065528203,1273.15,1.4,1.52017120008291,0.283079778579086
"6","SpDis_17",0.271438346635697,1273.15,0.81,1.78441127255527,0.332285434628299
"7","SpDis_18",-2.71759060255703,1198.15,0.55,0.0139625619062134,0.00260004855544697
"8","SpDis_2",5.66532168323379,1573.15,7.88,5.96677015706742,1.11110641670019
"9","SpDis_21",-0.0803475986846484,1273.15,1.48,1.62897928723612,0.303341555158768
"10","SpDis_3",23.4200066745173,1573.15,13.52,13.8114438105252,2.57190799005252
"11","SpDis_7",-0.287753479432113,1373.15,1.31,2.13705392937599,0.397953041806297
"12","SpG_10",1.97157066661429,1273.15,3.03,2.5355923396638,0.472167159882853
"13","SpG_11",0.394703067296301,1073.15,0.54,0.63944576928323,0.119074856024215
"14","SpG_12",1.35584826925484,1073.15,1.29,1.06411511411549,0.198154964960554
"15","SpG_15",-1.34602842425672,1073.15,0.32,-0.129673506909747,-0.0241472457980934
"16","SpG_16",-1.44451386171676,1073.15,0.33,-0.173187999950391,-0.032250328565518
"17","SpG_17",1.51790686301958,1173.15,2.04,1.7354327667913,0.323164866783017
"18","SpG_18",2.92838723094612,1173.15,2.36,2.35863493491904,0.439214908879582
"19","SpG_19",3.41774447789276,1273.15,3.19,3.17456518549162,0.59115395012406
"20","SpG_20",4.56014877786545,1273.15,3.64,3.67932147477484,0.685147507296371
"21","SpG_23",-0.323574097202248,1173.15,1.67,0.921798665195676,0.171653404579601
"22","SpG_28",5.60048270895107,1173.15,4.35,3.53926511822672,0.659066811649675
"23","SpG_29",1.49513128029472,1273.15,1.66,2.32508387369183,0.432967173767395
"24","SpG_30",1.30262785206624,1273.15,1.32,2.24002877007464,0.417128576182029
"25","SpG_32",0.182393375036481,1173.15,1.02,1.14535372691186,0.213282871949723
"26","SpG_33",2.38012146069635,1273.15,2.21,2.71610512555712,0.505781478756008
"27","SpG_34",3.18332909490279,1273.15,2.49,3.0709918368341,0.571866964156251
"28","SpG_7",0.489548503637312,1173.15,0.8,1.28106617385431,0.238554663330061
"29","SpG_8",0.814804596332397,1173.15,1.13,1.42477629330978,0.265315747076953
