"","Expt","M","TK","TiO2","TiO2sat","TiO2satSD"
"1","SpDis_10",1.30708850817964,1373.15,2.4,1.93529879831197,0.332559016895876
"2","SpDis_11",1.43846686337877,1373.15,2.65,2.35746464026765,0.405103399959751
"3","SpDis_12",1.72486042422226,1473.15,3.74,4.02179639917498,0.691099822844723
"4","SpDis_13",1.61817422702182,1473.15,3.25,3.67897532946445,0.632189933574101
"5","SpDis_16",1.34347217661455,1273.15,1.4,1.30816620783614,0.224793436751912
"6","SpDis_17",1.44639524035344,1273.15,0.81,1.63889497814328,0.281625402342166
"7","SpDis_18",1.05471819502457,1198.15,0.55,-0.177738834475891,-0.0305423907197574
"8","SpDis_2",2.09346889901592,1573.15,7.88,5.95031420544514,1.02249360362875
"9","SpDis_21",1.38624132982288,1273.15,1.48,1.44559885834055,0.248409669646287
"10","SpDis_3",4.38740586067045,1573.15,13.52,13.3215575684961,2.28915767031172
"11","SpDis_7",1.36721781119714,1373.15,1.31,2.12851584533708,0.365761161837133
"12","SpG_10",1.67821109051208,1273.15,3.03,2.38380256518502,0.409629271843328
"13","SpG_11",1.47927101827138,1073.15,0.54,0.256443890568598,0.0440669565913196
"14","SpG_12",1.65025178880458,1073.15,1.29,0.805866516852605,0.138478966052975
"15","SpG_15",1.30508193478064,1073.15,0.32,-0.303288197566438,-0.0521166162593556
"16","SpG_16",1.37384071539964,1073.15,0.33,-0.0823415395886435,-0.0141494540683728
"17","SpG_17",1.73282857461656,1173.15,2.04,1.81526177343085,0.31193202378226
"18","SpG_18",1.97514951150776,1173.15,2.36,2.59392597721925,0.445736582711222
"19","SpG_19",1.96772595863555,1273.15,3.19,3.31411782050069,0.569493333651702
"20","SpG_20",2.18466018546167,1273.15,3.64,4.01120540679483,0.689279881646512
"21","SpG_23",1.43216012253293,1173.15,1.67,0.849106046857724,0.14590918592501
"22","SpG_28",2.31269361573715,1173.15,4.35,3.67857641863474,0.632121385299554
"23","SpG_29",1.78283887991824,1273.15,1.66,2.72000923134144,0.467402551332956
"24","SpG_30",1.78369046758635,1273.15,1.32,2.72274568838083,0.467872780252433
"25","SpG_32",1.56503649534842,1173.15,1.02,1.27608555745248,0.219280743020962
"26","SpG_33",1.83776406614915,1273.15,2.21,2.89650358198693,0.497731091705914
"27","SpG_34",2.00229799512526,1273.15,2.49,3.42521019085866,0.588583289943259
"28","SpG_7",1.4969478703015,1173.15,0.8,1.05729235002519,0.181683626736396
"29","SpG_8",1.58823563475648,1173.15,1.13,1.35063272472374,0.232090823139715
