DF_Model,Expt,Type,SM,TC,Pkb,H2O,TimeH,Titanite,Rutile,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2,MnO,P2O5
N,SpDis_1,Dissolution,unknown,1300,6,0,22,Y,?,67.63,11.27,2.43,4.02,2.29,1.14,0.08,11.03,0.1,0.01
Y,SpDis_10,Dissolution,unknown,1100,8,5.9,71,Y,?,75.94,12.88,2.34,4.23,2.09,0.02,0.07,2.4,0.02,0.01
Y,SpDis_11,Dissolution,unknown,1100,8,9.7,64,Y,?,75.36,12.65,2.32,4.43,2.45,0.01,0.07,2.67,0.03,0.01
Y,SpDis_12,Dissolution,unknown,1200,8,1,29,Y,?,73.36,11.79,3.7,4.4,1.91,0.98,0.08,3.72,0.05,0.01
Y,SpDis_13,Dissolution,unknown,1200,8,1.8,71,Y,?,74.4,12.32,3.54,4.62,1.76,0.02,0.08,3.23,0.02,0.01
Y,SpDis_15,Dissolution,unknown,1200,8,5.9,49,Y,?,72.67,11.85,2.74,4.26,3.9,0.01,0.07,4.47,0.02,0.01
Y,SpDis_16,Dissolution,unknown,1000,8,9.9,114,Y,?,76.04,12.79,3.42,4.24,2.22,0.02,0.07,1.15,0.04,0.01
Y,SpDis_17,Dissolution,unknown,1000,8,6,117,Y,?,77.9,13.12,2.41,4.57,1,0.01,0.03,0.91,0.03,0.02
Y,SpDis_18,Dissolution,unknown,925,8,6.2,118,Y,?,77.68,13.17,2.89,4.81,0.77,0.02,0.07,0.55,0.04,0
N,SpDis_2,Dissolution,unknown,1300,8,1,28,Y,?,71.11,10.91,1.95,3.49,4.61,0.09,0.08,7.73,0.02,0.01
Y,SpDis_21,Dissolution,unknown,1000,8,2,240,Y,?,76.33,12.83,3.33,4.8,1.14,0.02,0.07,1.46,0.01,0.01
Y,SpDis_3,Dissolution,unknown,1300,8,1.9,18,Y,?,62.24,9.32,2.61,3.13,9.16,0.03,0.06,13.42,0.02,0.01
N,SpDis_4,Dissolution,unknown,1300,8,4.3,18,Y,?,74.41,12.52,2.81,4.45,2.86,0.02,0.06,2.84,0.02,0.01
Y,SpDis_7,Dissolution,unknown,1100,8,1,65,Y,?,76.12,12.7,3.43,4.55,1.03,0.75,0.07,1.31,0.03,0.01
Y,SpG_10,Crystallization,PST + GSP,1000,5,4,72,Y,N,72.8,13.09,2.65,5.29,2.76,0.02,0.33,3.03,0.02,0.01
Y,SpG_11,Crystallization,PST,800,5,4,168,Y,N,74.56,13.65,2.69,6.98,1.15,0.04,0.34,0.54,0.04,0.01
Y,SpG_12,Crystallization,PST + GSP,800,5,4,168,Y,N,71.82,14.7,3.71,5.03,2.55,0.03,0.67,1.29,0.05,0.15
Y,SpG_15,Crystallization,GSP,800,5,3.7,168,Y,N,72.42,15.14,2.64,6.16,2.08,0.38,0.28,0.68,0.03,0.19
Y,SpG_16,Crystallization,GSP + AGV,800,5,3.7,168,Y,N,71.01,15.93,3.07,5.29,2.53,1.01,0.34,0.56,0.05,0.21
Y,SpG_17,Crystallization,GSP,900,5,3.9,120,Y,N,68.66,15.8,2.93,5.55,3.68,0.05,1.01,2.04,0.04,0.24
Y,SpG_18,Crystallization,GSP + AGV,900,5,3.7,120,Y,Y,65.53,16.95,3.67,4.37,5.24,0.05,1.43,2.36,0.06,0.34
